2015-12-13T21:32:09.331-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59498 #77 (2 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59499 #78 (3 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59500 #79 (4 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59501 #80 (5 connections now open)
2015-12-13T21:32:09.342-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59502 #81 (6 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn79] end connection 127.0.0.1:59500 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn80] end connection 127.0.0.1:59501 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn81] end connection 127.0.0.1:59502 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn78] end connection 127.0.0.1:59499 (5 connections now open)
2015-12-13T21:33:59.391-0600 I NETWORK  [conn77] end connection 127.0.0.1:59498 (5 connections now open)
2015-12-13T21:34:03.605-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59533 #82 (2 connections now open)
2015-12-13T21:34:03.605-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59534 #83 (3 connections now open)
2015-12-13T21:34:03.613-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59535 #84 (4 connections now open)
2015-12-13T21:34:03.614-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59536 #85 (5 connections now open)
2015-12-13T21:34:03.614-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59537 #86 (6 connections now open)
2015-12-13T21:39:53.327-0600 I NETWORK  [conn85] end connection 127.0.0.1:59536 (5 connections now open)
2015-12-13T21:39:53.327-0600 I NETWORK  [conn82] end connection 127.0.0.1:59533 (5 connections now open)
2015-12-13T21:39:53.327-0600 I NETWORK  [conn83] end connection 127.0.0.1:59534 (5 connections now open)
2015-12-13T21:39:53.328-0600 I NETWORK  [conn86] end connection 127.0.0.1:59537 (5 connections now open)
2015-12-13T21:39:53.328-0600 I NETWORK  [conn84] end connection 127.0.0.1:59535 (5 connections now open)
2015-12-13T21:39:59.460-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59604 #87 (2 connections now open)
2015-12-13T21:39:59.494-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59605 #88 (3 connections now open)
2015-12-13T21:39:59.494-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59606 #89 (4 connections now open)
2015-12-13T21:39:59.495-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59607 #90 (5 connections now open)
2015-12-13T21:39:59.495-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59608 #91 (6 connections now open)
2015-12-13T21:41:15.090-0600 I NETWORK  [conn90] end connection 127.0.0.1:59607 (5 connections now open)
2015-12-13T21:41:15.091-0600 I NETWORK  [conn88] end connection 127.0.0.1:59605 (5 connections now open)
2015-12-13T21:41:15.091-0600 I NETWORK  [conn91] end connection 127.0.0.1:59608 (5 connections now open)
2015-12-13T21:41:15.091-0600 I NETWORK  [conn89] end connection 127.0.0.1:59606 (5 connections now open)
2015-12-13T21:41:15.091-0600 I NETWORK  [conn87] end connection 127.0.0.1:59604 (5 connections now open)
2015-12-13T21:41:19.781-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59650 #92 (2 connections now open)
2015-12-13T21:41:19.782-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59651 #93 (3 connections now open)
2015-12-13T21:41:19.782-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59652 #94 (4 connections now open)
2015-12-13T21:41:19.783-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59653 #95 (5 connections now open)
2015-12-13T21:41:19.783-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59654 #96 (6 connections now open)
2015-12-13T21:44:15.794-0600 I NETWORK  [conn96] end connection 127.0.0.1:59654 (5 connections now open)
2015-12-13T21:44:15.794-0600 I NETWORK  [conn93] end connection 127.0.0.1:59651 (5 connections now open)
2015-12-13T21:44:15.795-0600 I NETWORK  [conn92] end connection 127.0.0.1:59650 (5 connections now open)
2015-12-13T21:44:15.795-0600 I NETWORK  [conn95] end connection 127.0.0.1:59653 (5 connections now open)
2015-12-13T21:44:15.795-0600 I NETWORK  [conn94] end connection 127.0.0.1:59652 (5 connections now open)
2015-12-13T21:44:20.656-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59684 #97 (2 connections now open)
2015-12-13T21:44:20.656-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59685 #98 (3 connections now open)
2015-12-13T21:44:20.656-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59686 #99 (4 connections now open)
2015-12-13T21:44:20.656-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59687 #100 (5 connections now open)
2015-12-13T21:44:20.656-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59688 #101 (6 connections now open)
2015-12-13T21:45:54.329-0600 I NETWORK  [conn99] end connection 127.0.0.1:59686 (5 connections now open)
2015-12-13T21:45:54.329-0600 I NETWORK  [conn101] end connection 127.0.0.1:59688 (5 connections now open)
2015-12-13T21:45:54.329-0600 I NETWORK  [conn100] end connection 127.0.0.1:59687 (5 connections now open)
2015-12-13T21:45:54.329-0600 I NETWORK  [conn98] end connection 127.0.0.1:59685 (5 connections now open)
2015-12-13T21:45:54.329-0600 I NETWORK  [conn97] end connection 127.0.0.1:59684 (5 connections now open)
2015-12-13T21:45:59.988-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59705 #102 (2 connections now open)
2015-12-13T21:46:00.005-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59706 #103 (3 connections now open)
2015-12-13T21:46:00.005-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59707 #104 (4 connections now open)
2015-12-13T21:46:00.005-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59708 #105 (5 connections now open)
2015-12-13T21:46:00.005-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59709 #106 (6 connections now open)
2015-12-13T21:52:54.225-0600 I NETWORK  [conn106] end connection 127.0.0.1:59709 (5 connections now open)
2015-12-13T21:52:54.225-0600 I NETWORK  [conn105] end connection 127.0.0.1:59708 (5 connections now open)
2015-12-13T21:52:54.225-0600 I NETWORK  [conn104] end connection 127.0.0.1:59707 (5 connections now open)
2015-12-13T21:52:54.225-0600 I NETWORK  [conn103] end connection 127.0.0.1:59706 (5 connections now open)
2015-12-13T21:52:54.225-0600 I NETWORK  [conn102] end connection 127.0.0.1:59705 (5 connections now open)
2015-12-13T21:52:59.791-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59769 #107 (2 connections now open)
2015-12-13T21:52:59.808-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59770 #108 (3 connections now open)
2015-12-13T21:52:59.808-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59771 #109 (4 connections now open)
2015-12-13T21:52:59.808-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59772 #110 (5 connections now open)
2015-12-13T21:52:59.809-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59773 #111 (6 connections now open)
2015-12-13T21:53:44.280-0600 I NETWORK  [conn111] end connection 127.0.0.1:59773 (5 connections now open)
2015-12-13T21:53:44.280-0600 I NETWORK  [conn107] end connection 127.0.0.1:59769 (5 connections now open)
2015-12-13T21:53:44.280-0600 I NETWORK  [conn110] end connection 127.0.0.1:59772 (5 connections now open)
2015-12-13T21:53:44.280-0600 I NETWORK  [conn109] end connection 127.0.0.1:59771 (5 connections now open)
2015-12-13T21:53:44.280-0600 I NETWORK  [conn108] end connection 127.0.0.1:59770 (5 connections now open)
2015-12-13T21:53:51.181-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59781 #112 (2 connections now open)
2015-12-13T21:53:51.198-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59782 #113 (3 connections now open)
2015-12-13T21:53:51.198-0600 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:59783 #114 (4 connections now open)
